comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version
CMP26,R21,R5,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"OpenEval R21 addresses reliability control for sum analyses (C80), while peer R5 addresses broader sum control analyses including C80. Both accept that reliability data rules out alternative explanations. Both SUPPORTED.",1.0,6.0,1,elife-105714,v1
CMP27,R11,R4,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"OpenEval R11 provides specific quantitative accuracy values for inversion effects (C89), while peer R4 addresses broader inversion findings including C89. Both support robust body-inversion effects. Both SUPPORTED.",1.0,12.0,1,elife-105714,v1
CMP28,R30,R4,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"OpenEval R30 summarizes inversion effect patterns (C125), while peer R4 addresses broader inversion findings including C125. Both support the pattern of inversion effects across stimulus types. Both SUPPORTED.",1.0,12.0,1,elife-105714,v1
CMP29,R29,R4,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"OpenEval R29 addresses methodological improvement with unbiased selection (C121-C122), while peer R4 addresses inversion findings including C122. Both note the unbiased selection strengthens interpretation. Both SUPPORTED.",2.0,12.0,1,elife-105714,v1
CMP30,R27,R2,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"OpenEval R27 relates findings to literature on temporal cortex organization (C113), while peer R2 addresses regional differences including C113. Both place results in broader context of STS organization. Both SUPPORTED.",1.0,14.0,1,elife-105714,v1
CMP31,R10,,SUPPORTED,,MINOR,,disjoint,"OpenEval R10 evaluates subdivision analyses by selectivity (C84) showing decoding is not driven by specific subpopulations. No corresponding peer review evaluation found, though this supports the broader integration claims accepted by reviewers.",1.0,,0,elife-105714,v1
CMP32,R12,,SUPPORTED,,MINOR,,disjoint,"OpenEval R12 evaluates isolated body parts analyses (C86-C87) showing inversion effects are more consistent for whole bodies. No corresponding peer review evaluation found, though this is part of the inversion findings accepted in peer R4.",2.0,,0,elife-105714,v1
CMP33,R17,,SUPPORTED,,MINOR,,disjoint,"OpenEval R17 evaluates control analysis ruling out response magnitude explanation (C62). No corresponding peer review evaluation found, though peer reviewers accept the thorough control analyses generally.",1.0,,0,elife-105714,v1
CMP34,R26,,SUPPORTED,,MINOR,,disjoint,OpenEval R26 contextualizes differences from previous work (C115-C116) regarding recording location and experimental manipulation. No corresponding peer review evaluation found.,2.0,,0,elife-105714,v1
CMP35,,R13,,SUPPORTED,,MINOR,disjoint,"Peer R13 evaluates background, motivation, and rationale (C1, C8-C22, C24-C25) as SUPPORTED. No corresponding OpenEval result found - OpenEval focused on empirical claims rather than background/motivation claims.",,18.0,0,elife-105714,v1
CMP1,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both strongly support the core morphological observations (C1-C11). OpenEval emphasizes quantitative measurements and statistical testing, while peer reviewers praise the 'convincing' imaging quality and 'excellent' documentation of distinct hyphal forms.",19.0,11.0,11,elife-107043,v1
CMP2,R1,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"OpenEval R1 includes claims C12-C21 about quantitative analysis and correlation (R²=0.94), which peer R2 affirms as 'convincing' image analysis with validated methodology.",19.0,7.0,7,elife-107043,v1
CMP3,R3,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on time-lapse imaging data (C22-C27). Both affirm the dynamic observations of nuclear proliferation and hyphal elongation. Peer reviewers describe figures and movies as 'excellent quality,' matching OpenEval's assessment of robust quantitative support.",6.0,6.0,6,elife-107043,v1
CMP4,R4,R4,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both support the multi-technique characterization of cell wall properties (C28-C33). OpenEval details TEM, Raman, AFM validation, while peer reviewers praise the 'diverse state-of-the-art' methods and 'high quality' approach including these techniques.",8.0,6.0,6,elife-107043,v1
CMP5,R5,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on the correlation between nuclear number and enzyme secretion (C34, C36-C37). Both highlight the microfluidic approach as particularly valuable. OpenEval notes statistical significance (p<0.01), peer reviewers call this correlation a key finding.",4.0,3.0,3,elife-107043,v1
CMP6,R6,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Complete agreement on nutritional regulation findings (C38-C46). Both identify the amino acid supplementation discovery as notable. OpenEval emphasizes dose-response data and statistical testing, peer reviewers note this will 'benefit future efforts.'",9.0,9.0,9,elife-107043,v1
CMP7,R7,R7,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both support rapamycin experiments (C47-C48). OpenEval provides detailed assessment of dose-dependent effects and TOR pathway connection, while peer reviewers affirm overall experimental quality without specific concerns about these findings.",9.0,2.0,2,elife-107043,v1
CMP8,R8,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on transcriptome analysis (C49-C57). OpenEval notes modest sample sizes (n=3 thick, n=2 thin) but accepts data as valid. Peer reviewers affirm the microdissection approach and ribosomal gene upregulation as part of 'excellent cell biology.'",9.0,9.0,9,elife-107043,v1
CMP9,R9,R9,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both support msyA deletion phenotype data (C58-C60, C96-C97). OpenEval emphasizes hypoosmotic shock assays with quantification. Peer reviewer 1 notes the analysis 'did not reveal conclusive answers' mechanistically but accepts the phenotype data as properly controlled.",5.0,5.0,5,elife-107043,v1
CMP10,R10,R10,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Divergence on rseA genetic evidence (C61-C74). OpenEval rates as SUPPORTED with strong genetic evidence from SNP analysis and complementation. Peer reviewer 2 rates as UNCERTAIN, stating the genetic data is 'somewhat more speculative' and the direct role of RseA 'remains unclear.'",14.0,14.0,14,elife-107043,v1
CMP11,R11,R11,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on comparative analysis across bred strains (C75-C79, C124-C125). Both affirm the broader significance for fungal biotechnology. OpenEval notes the correlation remains somewhat inferential, peer reviewers emphasize the work's impact on the field.",7.0,7.0,7,elife-107043,v1
CMP12,R12,R12,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,Both address cell cycle regulation (C90-C91). OpenEval rates as SUPPORTED but notes C91 is speculative without direct G2 measurements. Peer reviewers accept the transcriptome data without specific concerns about these claims.,11.0,2.0,2,elife-107043,v1
CMP13,R13,R13,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,"Agreement on UNCERTAIN rating for mechanistic model (C92-C94, C107-C108). Both note the model is reasonable but speculative. OpenEval emphasizes need for cell wall composition analysis, peer reviewer 2 states it 'will likely require additional investigation.'",5.0,6.0,3,elife-107043,v1
CMP14,R14,R13,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"OpenEval R14 addresses integrative model (C105-C106, C109-C114) rated SUPPORTED. Peer R13 expresses uncertainty about direct roles of RseA and calcium transporters (overlapping claims C109-C110, C112), indicating partial disagreement on mechanistic certainty.",8.0,6.0,3,elife-107043,v1
CMP15,R2,R14,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,Both support ploidy analysis (C131-C134). OpenEval details GFP-histone intensity and conidial size data supporting the density interpretation. Peer reviewers accept this as part of the 'properly controlled and analyzed' comprehensive characterization.,7.0,4.0,4,elife-107043,v1
CMP16,R18,R15,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on overall conclusions and significance (C142-C146 in OpenEval, C144-C146 overlap). Both affirm the work's importance for fungal biotechnology and cell biology. Peer reviewers emphasize broad impact, OpenEval notes appropriate caution in conclusions.",5.0,3.0,3,elife-107043,v1
CMP17,R15,,UNCERTAIN,,MINOR,,disjoint,"OpenEval rates breeding speculation (C11, C119-C122) as UNCERTAIN, noting these are reasonable hypotheses without direct experimental support. Peer reviewers do not separately evaluate these speculative claims about strain diversity origins.",5.0,,0,elife-107043,v1
CMP18,R16,,UNCERTAIN,,MINOR,,disjoint,"OpenEval rates flbA/aerial hypha claims (C126-C130) as UNCERTAIN, noting C130 is highly speculative. Peer reviewers do not specifically address these claims about conidiophore development connections.",5.0,,0,elife-107043,v1
CMP19,R17,,SUPPORTED,,MINOR,,disjoint,OpenEval supports contextual claims about energy requirements and natural selection (C135-C141) as logical inferences. Peer reviewers do not separately evaluate these interpretive claims.,7.0,,0,elife-107043,v1
CMP20,R19,,SUPPORTED,,MINOR,,disjoint,OpenEval affirms background/literature claims (C147-C154) as well-supported by citations. Peer reviewers do not separately evaluate these contextual claims from prior literature.,8.0,,0,elife-107043,v1
CMP1,R1,R11,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both evaluate C51 (behavioral validation of pair bonding model). OpenEval finds it SUPPORTED by behavioral data, peer reviewers also find it SUPPORTED and acknowledge strong experimental design. Complete agreement.",1.0,1.0,1,elife-100292,v1
CMP2,R2,R1,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both address dopamine release claims (C1, C54, C55). OpenEval finds evidence SUPPORTED with appropriate statistics, but peer reviewers rate UNCERTAIN due to concerns about statistical methods (two-way ANOVA vs t-tests, area-under-curve vs averaging). Disagreement on statistical adequacy.",5.0,3.0,3,elife-100292,v1
CMP3,R3,R2,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both evaluate D2 MSN activity (C3, C68, C69). OpenEval finds SUPPORTED, but peer reviewers rate UNCERTAIN due to statistical concerns and confusion about how increased excitation in slices relates to increased inhibition in vivo. Disagreement on interpretation and statistical methods.",8.0,3.0,3,elife-100292,v1
CMP4,R3,R3,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both address D1 MSN activity (C2, C70, C71). OpenEval finds SUPPORTED, peer reviewers rate UNCERTAIN due to same statistical concerns as other photometry data (two-way ANOVA vs t-tests, calculation methods). Disagreement on statistical adequacy.",8.0,3.0,3,elife-100292,v1
CMP5,R4,R4,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both evaluate D1 MSN electrophysiology including E/I ratio (C72, C73, C75). OpenEval finds SUPPORTED but notes contrast with in vivo data, peer reviewers rate UNCERTAIN explicitly questioning how increased E/I ratio in slices corresponds with increased inhibition in vivo. Agreement on the disconnect between ex vivo and in vivo findings.",5.0,3.0,3,elife-100292,v1
CMP6,R5,R5,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Both address D2 MSN synaptic changes (C78, C79). OpenEval finds SUPPORTED and discusses homeostatic regulation, peer reviewers rate UNCERTAIN noting unclear linkage between ex vivo synaptic changes and in vivo activity. Disagreement on mechanistic clarity.",4.0,2.0,2,elife-100292,v1
CMP7,R4,R9,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both evaluate C74 (no change in intrinsic excitability). OpenEval finds this SUPPORTED as part of broader electrophysiology results, peer reviewers also find SUPPORTED as appropriate negative control. Agreement.",5.0,1.0,1,elife-100292,v1
CMP8,R6,R10,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both evaluate dopamine pharmacology in slices (C76, C77, C82, C83). OpenEval finds SUPPORTED, peer reviewers also find SUPPORTED without specific critique, though note general concerns about linking slice to in vivo data. Substantial agreement.",4.0,4.0,4,elife-100292,v1
CMP9,R7,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Both evaluate D2 MSN chemogenetic manipulation (C6, C7, C88, C89). OpenEval finds SUPPORTED with strong causal evidence, peer reviewers also find SUPPORTED noting the relationship is 'quite clear' and manipulation data are convincing. Complete agreement.",8.0,4.0,4,elife-100292,v1
CMP10,R7,R12,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Both address DREADD validation (C85, C86). OpenEval finds SUPPORTED as functional validation, peer reviewers also find SUPPORTED as standard technical controls. Complete agreement.",8.0,2.0,2,elife-100292,v1
CMP11,R8,R7,UNCERTAIN,UNCERTAIN,MAJOR,MAJOR,agree,"Both evaluate D1 MSN chemogenetic effects (C91, C92). OpenEval rates UNCERTAIN noting asymmetric effects and need for explanation, peer reviewers also rate UNCERTAIN stating the role is 'more complicated' and 'not convincingly discussed.' Complete agreement on uncertainty.",2.0,2.0,2,elife-100292,v1
CMP12,R11,R8,SUPPORTED,UNCERTAIN,MINOR,MINOR,partial,"Both address viral specificity concerns (C108, C109). OpenEval finds SUPPORTED acknowledging limitation but citing majority specificity (80-86%), peer reviewers rate UNCERTAIN noting ectopic expression concerns and that quantification 'underestimates the degree of ectopic expression.' Disagreement on whether this limitation undermines findings.",3.0,4.0,2,elife-100292,v1
CMP13,R3,R8,SUPPORTED,UNCERTAIN,MAJOR,MINOR,partial,"Partial overlap on viral specificity validation (C64, C65). OpenEval finds immunofluorescence validation SUPPORTED, peer reviewers express UNCERTAIN concerns about ectopic expression from short promoters. Disagreement on adequacy of validation.",8.0,4.0,2,elife-100292,v1
CMP14,R9,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates control experiments (C56-C63: same-sex interactions, carrot consumption, EGFP controls, side-by-side contact) as SUPPORTED. No corresponding peer review evaluation found for these specific control claims.",8.0,,0,elife-100292,v1
CMP15,R10,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates temporal stability controls for carrot consumption signals (C66, C67) as SUPPORTED. No corresponding peer review evaluation found for these specific control claims.",2.0,,0,elife-100292,v1
CMP16,R12,,SUPPORTED,,MINOR,,disjoint,"OpenEval evaluates extensive literature citations (C8-C50, C95-C112) as SUPPORTED for providing necessary context. Peer reviewers do not separately evaluate these background/citation claims.",58.0,,0,elife-100292,v1
CMP17,R13,,SUPPORTED,,MAJOR,,disjoint,"OpenEval evaluates main interpretive conclusions (C93, C94) as SUPPORTED by convergent evidence, suggesting additional experiments would strengthen causal claims. Peer reviewers do not separately evaluate these synthetic conclusion claims.",2.0,,0,elife-100292,v1
CMP1,R4,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on severe autoimmune phenotype (C4, C35-C44, C78). Both evaluations find the evidence convincing across survival, histopathology, and immune parameters. OpenEval notes 'severe and well-documented' phenotype; peer reviewers state 'strong phenotype supports critical role.'",12.0,12.0,12,elife-103417,v1
CMP2,R5,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on in vitro vs in vivo functional discrepancy (C5, C47-C51). Both accept that CXXC1 KO Tregs maintain in vitro suppression but fail in vivo models. OpenEval describes 'context-dependent defects'; peer reviewers explicitly note this is 'partly due to diminished survival.'",6.0,6.0,6,elife-103417,v1
CMP3,R9,R9,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on negative findings (C66-C68). Both evaluations accept that DNA methylation and H3K4me1 are unchanged, establishing specificity for H3K4me3. OpenEval emphasizes importance for 'establishing specificity'; peer reviewers note this strengthens mechanistic conclusions.",3.0,3.0,3,elife-103417,v1
CMP4,R10,R11,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on mechanistic distinction (C73-C75). Both accept that FOXP3 binding is maintained while H3K4me3 is affected, showing CXXC1 functions as cofactor. OpenEval notes this is 'important for understanding how CXXC1 functions'; peer reviewers implicitly accept this interpretation without concerns.",3.0,3.0,3,elife-103417,v1
CMP5,R13,R12,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Agreement on proposed Set1/COMPASS mechanism (C80, C82), though both acknowledge speculative elements. OpenEval notes 'direct demonstration in Treg cells is not shown'; peer reviewers accept mechanism as consistent with known CXXC1 function without challenge.",2.0,2.0,2,elife-103417,v1
CMP6,R14,R13,UNCERTAIN,SUPPORTED,MINOR,MINOR,partial,"Divergent evaluation of therapeutic potential claim (C9). OpenEval rates as UNCERTAIN, noting lack of therapeutic validation studies and need for additional evidence. Peer reviewers rate as SUPPORTED, accepting translational implications based on significance of findings.",1.0,1.0,1,elife-103417,v1
CMP7,R15,R14,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,"Perfect agreement on background/contextual claims (C1, C10-C18, C79, C81, C83-C84). Both evaluations accept these as established literature providing necessary context. OpenEval notes 'appropriately cited'; peer reviewers did not challenge any contextual claims.",14.0,14.0,14,elife-103417,v1
CMP8,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on FOXP3 binding at H3K4me3-enriched promoters (C20, C22-C29). OpenEval includes C19 (validation control); peer reviewers address C19 separately in R15. Both accept converging evidence from multiple genomic approaches.",10.0,9.0,9,elife-103417,v1
CMP9,R3,R10,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on reduced H3K4me3 at broad domains (C3, C69-C70, C72, C76-C77). Peer review R10 also includes C71 not in OpenEval R3. Both identify this as key mechanistic finding with all reviewers noting novelty and importance.",6.0,7.0,6,elife-103417,v1
CMP10,R7,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Strong agreement on scRNA-seq findings (C52-C55, C57-C58). OpenEval includes C59 (proliferation markers); peer review includes C56 (functional markers). Both accept comprehensive single-cell analysis showing altered Treg phenotypes.",7.0,7.0,6,elife-103417,v1
CMP11,R2,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial agreement on genomic co-occupancy (C30-C33). OpenEval R2 also addresses protein interaction (C2, C34) which peer reviewers evaluate separately in R3. Both accept CUT&Tag evidence for genomic overlap as convincing.",6.0,6.0,4,elife-103417,v1
CMP12,R2,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial agreement on CXXC1-FOXP3 interaction (C2, C34). OpenEval R2 groups interaction data with genomic binding; peer reviewers evaluate protein interaction separately. Both accept co-IP and immunofluorescence evidence.",6.0,2.0,2,elife-103417,v1
CMP13,R11,R2,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,Overlap on genomic co-localization (C7-C8). OpenEval R11 addresses this as separate finding; peer review R2 includes these claims with broader genomic binding analysis (C30-C33). Both accept the co-occupancy evidence.,2.0,6.0,2,elife-103417,v1
CMP14,R8,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Partial agreement on transcriptional profiling (C63-C65). OpenEval R8 also includes C60-C62 (het-KO experimental design); peer reviewers focus on gene expression changes. Both accept RNA-seq evidence for altered Treg signature genes.,6.0,3.0,3,elife-103417,v1
CMP15,R8,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on het-KO findings (C60-C62). OpenEval R8 emphasizes het-KO design controlling for inflammation; peer review R6 groups these with other dysfunction markers (C6, C45-C46, C59). Both accept cell-intrinsic defects.",6.0,7.0,3,elife-103417,v1
CMP16,R12,R6,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Partial overlap on increased Treg numbers (C45-C46). OpenEval R12 evaluates this as separate paradoxical finding; peer review R6 groups with broader dysfunction phenotype (C6, C59-C62). Both accept the observation.",2.0,7.0,2,elife-103417,v1
CMP17,R6,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on functional marker expression (C6, C56, C62, C65). OpenEval R6 groups multiple markers together; peer review R6 includes these with homeostasis defects (C45-C46, C59-C61). Both accept reduced expression across markers.",4.0,7.0,2,elife-103417,v1
CMP18,R6,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Minimal overlap on C65 (marker expression). OpenEval R6 groups C65 with other functional markers; peer review R8 includes C65 with transcriptional profiling. Both accept the finding through flow cytometry and RNA-seq.,4.0,3.0,1,elife-103417,v1
CMP19,R1,R15,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,Minimal overlap on C19 (validation control). OpenEval R1 includes C19 with main FOXP3 binding findings; peer reviewers evaluate C19 separately as quality control for CUT&Tag methodology. Both accept without concerns.,10.0,1.0,1,elife-103417,v1
CMP20,R6,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Minimal overlap on C56 (functional markers). OpenEval R6 groups C56 with other markers; peer review R7 includes C56 with scRNA-seq analysis. Both accept reduced expression evidence.,4.0,7.0,1,elife-103417,v1
CMP21,R7,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Minimal overlap on C59 (proliferation/activation). OpenEval R7 includes C59 with scRNA-seq findings; peer review R6 groups C59 with dysfunction phenotype. Both accept the observation.,7.0,7.0,1,elife-103417,v1
CMP1,R1,R1,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Perfect agreement on C34-C47. Both evaluations find the model well-constrained by experimental data and successfully reproducing key features of pDp. Reviewers explicitly praised the biological realism that OpenEval documented.,14.0,14.0,14,elife-96303,v1
CMP2,R2,R2,SUPPORTED,SUPPORTED,MINOR,MAJOR,agree,"Partial overlap on C51-C52 (assembly creation and instability). OpenEval focuses on methodology and network properties, while peer review (R2) groups these claims with broader findings about Scaled I network instability (C11-C12, C53-C55, C109, C111-C112). Both accept the instability findings.",5.0,10.0,2,elife-96303,v1
CMP3,R3,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C53-C55 (E/I correlations and Scaled I network limitations). OpenEval R3 focuses on E/I correlation measurements and experimental comparison, while peer R2 groups these with broader instability findings. Both accept that Scaled I networks fail to match experimental observations.",6.0,10.0,3,elife-96303,v1
CMP4,R3,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C56-C57, C60 (co-tuning metrics and functional consequences). OpenEval R3 includes these with E/I correlation analysis, while peer R3 groups them with stabilization effects (C13-C15, C58-C59, C113). Both find the evidence compelling.",6.0,9.0,3,elife-96303,v1
CMP5,R4,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C58-C59 (firing rate properties of Tuned networks). OpenEval R4 focuses specifically on firing rate comparisons, while peer R3 integrates these with broader stabilization findings. Both accept the demonstrated differences between network types.",2.0,9.0,2,elife-96303,v1
CMP6,R5,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C11-C12 (core findings about E/I assemblies on network dynamics). OpenEval R5 focuses on the computational simulation results, while peer R2 groups these with instability findings. Both accept the core findings as demonstrated.",5.0,10.0,2,elife-96303,v1
CMP7,R5,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C13-C15 (E/I assembly effects). OpenEval R5 presents these as core findings with acknowledged mechanistic gaps, while peer R3 groups them with stabilization evidence and praises the mechanistic explanations. Both support the findings.",5.0,9.0,3,elife-96303,v1
CMP8,R6,R4,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Strong agreement on C62-C65 (network dynamics and attractor characterization). Both evaluations accept the findings about transient dynamics versus persistent activity. Peer review explicitly notes this contributes to understanding alternatives to traditional attractor networks.,5.0,4.0,4,elife-96303,v1
CMP9,R7,R5,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C67-C70 (pattern completion behavior). OpenEval R7 provides detailed analysis of pattern completion across network types, while peer R5 accepts these findings as part of the broader narrative. Both note the absence of classical pattern completion in Tuned networks.",9.0,4.0,4,elife-96303,v1
CMP10,R8,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C79-C81 (geometric transformations and local curvature). OpenEval R8 focuses on odor representation geometry, while peer R6 emphasizes the novelty of local manifold projections. Both find the geometric findings compelling and well-supported.",6.0,6.0,3,elife-96303,v1
CMP11,R9,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C85 (local manifold hypothesis). OpenEval R9 presents dimensionality analysis supporting this hypothesis, while peer R6 praises it as novel and intriguing. Both accept the manifold interpretation.",4.0,6.0,1,elife-96303,v1
CMP12,R9,R7,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Strong agreement on C82-C84 (dimensionality analysis). Both evaluations accept the participation ratio measurements and their interpretation as supporting intermediate representations between high-dimensional and discrete attractors.,4.0,3.0,3,elife-96303,v1
CMP13,R10,R8,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Perfect agreement on C86-C93 (detailed manifold geometry characterization). Both evaluations praise the mechanistic analysis of bidirectional effects (amplification and suppression). Peer review explicitly commends the mechanistic explanations.,8.0,8.0,8,elife-96303,v1
CMP14,R11,R13,SUPPORTED,SUPPORTED,MINOR,MINOR,agree,Perfect agreement on C94 (robustness controls). Both evaluations explicitly praise this analysis for demonstrating that results stem from connectivity structure rather than specific biophysical parameters.,2.0,1.0,1,elife-96303,v1
CMP15,R12,R9,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Strong overlap on C96-C102 (pattern classification enhancement). OpenEval finds the evidence well-supported with appropriate nuance (C102). Peer review raises concern that classification advantage may be context-dependent and that Tuned networks trade salience for stability, suggesting limitations not fully captured in OpenEval's assessment.",7.0,8.0,7,elife-96303,v1
CMP16,R13,R10,SUPPORTED,SUPPORTED,MAJOR,MINOR,agree,"Perfect agreement on C103-C105 (concentration estimation). Both evaluations accept the findings as demonstrating additional computational capabilities beyond classification, consistent with the functional advantages of E/I assemblies.",3.0,3.0,3,elife-96303,v1
CMP17,R14,R11,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,Perfect agreement on C106-C108 (continual learning). Both evaluations accept the findings while implicitly acknowledging the limited scope (only two additional assemblies). Both find the stability benefits demonstrated.,3.0,3.0,3,elife-96303,v1
CMP18,R15,R2,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C109, C111-C112 (global inhibition failure). OpenEval R15 synthesizes findings about network stability, while peer R2 groups these with broader instability findings. Both accept that global inhibition fails to provide stability.",6.0,10.0,3,elife-96303,v1
CMP19,R15,R3,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C113 (E/I assembly success). OpenEval R15 includes this in synthesis of key findings, while peer R3 groups it with stabilization evidence. Both accept the demonstrated success of E/I assemblies.",6.0,9.0,1,elife-96303,v1
CMP20,R15,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C114 (E/I assemblies and manifold geometry). OpenEval R15 includes this in synthesis, while peer R6 emphasizes it as part of the novel geometric findings. Both accept the connection between E/I structure and manifold formation.",6.0,6.0,1,elife-96303,v1
CMP21,R17,R14,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Perfect agreement on C119-C121 (consistency with experimental observations). Both evaluations accept that the model's predictions align with biological observations of irregular, transient activity, supporting the model's validity.",3.0,3.0,3,elife-96303,v1
CMP22,R19,R6,SUPPORTED,SUPPORTED,MAJOR,MAJOR,agree,"Partial overlap on C16 (manifold geometry summary). OpenEval R19 summarizes key findings about geometric transformations, while peer R6 praises these as novel and convincing. Both support the geometric findings.",4.0,6.0,1,elife-96303,v1
CMP23,R19,R9,SUPPORTED,UNCERTAIN,MAJOR,MAJOR,partial,"Partial overlap on C17 (classification enhancement summary). OpenEval R19 summarizes functional consequences of geometry, while peer R9 raises concerns about context-dependence of classification advantages. Divergence in assessment of generality.",4.0,8.0,1,elife-96303,v1
CMP24,R20,R12,UNCERTAIN,SUPPORTED,MAJOR,MAJOR,partial,"Perfect agreement on C20-C22 (functional implications). OpenEval marks C21-C22 as uncertain/speculative due to limited testing, while peer review accepts these as reasonable extrapolations about functional significance. Both acknowledge speculative nature of higher-order learning claims.",3.0,3.0,3,elife-96303,v1
CMP25,R16,,SUPPORTED,,MAJOR,,disjoint,OpenEval R16 addresses C115-C118 (theoretical context and parameter space exploration). No corresponding peer review evaluation found. These claims about theoretical consistency and parameter continuum were not explicitly discussed in peer reviews.,4.0,,0,elife-96303,v1
CMP26,R18,,SUPPORTED,,MINOR,,disjoint,OpenEval R18 addresses C122 (theoretical justification for modeling approach). No corresponding peer review evaluation found. This theoretical framing was not explicitly discussed in peer reviews.,1.0,,0,elife-96303,v1
