comparison_id,openeval_result_id,peer_result_id,openeval_evaluation_type,peer_evaluation_type,openeval_result_type,peer_result_type,comparison_type,comparison,n_openeval,n_peer,n_itx,manuscript_id,version,intersection_fraction,n_peer_int,n_openeval_int,agree_bar_cat
CMP2,R7,R1,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address JNK inhibitor combination experiments (C23, C24, C25). OpenEval rates SUPPORTED, viewing experimental validation as confirming computational predictions. Peer reviewers rate UNSUPPORTED, arguing that combination shows no benefit beyond JNKi alone and lacks proper synergy analysis. Major disagreement on interpretation of same data.",6.0,3.0,3,elife-90532,v1,0.5,3,6,Disagree
CMP15,R1,R10,Supported,Unsupported,MINOR,MAJOR,Disagree,"OpenEval evaluates comprehensive methods including delayed response design (C23: no motor confounds). Peer R10 specifically rates C23 as UNSUPPORTED, with Reviewer 2 noting verbal responses involve facial muscle activation and Reviewer 1 noting inability to fully exclude motor preparatory processing. Direct disagreement on whether motor confounds are adequately controlled.",25.0,1.0,1,elife-95272,v1,0.04,1,25,Disagree
CMP3,R3,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate bipolar cell deficits (C6, C26-C29, C31, C59, C99). OpenEval rates it SUPPORTED with acknowledgment that mechanistic links are inferential. Peer reviewers rate it UNSUPPORTED, explicitly stating authors have not performed cell counts to distinguish between fewer cells versus decreased marker expression, and raising concerns about Western blot saturation. Major disagreement on evidential sufficiency.",9.0,8.0,8,elife-91289,v1,0.8888888888888888,8,9,Disagree
CMP16,R18,R12,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Major disagreement on claims C102, C126 regarding provision of therapeutic strategies. OpenEval rates as UNSUPPORTED, noting no actual therapeutic interventions or clinical validation are presented. Peer review rates as SUPPORTED, accepting that findings 'provide a potential treatment strategy.'",2.0,6.0,2,elife-98903,v1,0.3333333333333333,6,2,Disagree
CMP1,R1,R1,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address claims C33-C35 about intracellular Aβ/APP in VIP-INs, but reach opposite conclusions. OpenEval finds the claims SUPPORTED by immunohistochemistry data, while the peer reviewer finds them UNSUPPORTED, explicitly challenging that 6E10 staining shows APP/C99 rather than intracellular Aβ, noting this interpretation is controversial and lacks original supporting data.",3.0,3.0,3,elife-95412,v1,1.0,3,3,Disagree
CMP9,R7,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Partial overlap on claims C71-C72 about VGAT bouton density. OpenEval finds these SUPPORTED as part of broader evidence that connectivity is preserved. The peer reviewer finds these UNSUPPORTED, stating that confocal microscopy of 70 micron sections cannot adequately resolve synaptic terminals and recommends removing the data or discussing limitations.",10.0,2.0,2,elife-95412,v1,0.2,2,10,Disagree
CMP20,R13,R18,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address claim C99 about intracellular Aβ/APP in I-S3 cells with preserved structure. OpenEval finds this SUPPORTED as a summary integrating immunohistochemistry and morphological data. The peer reviewer finds this UNSUPPORTED, challenging the 'intracellular Aβ' interpretation and stating the staining shows APP/C99, not Aβ accumulations, with no original supporting data.",1.0,1.0,1,elife-95412,v1,1.0,1,1,Disagree
CMP21,R14,R19,Unsupported,Supported,MAJOR,MAJOR,Disagree,"Partial overlap on claims C111 and C124 about mechanistic explanations. OpenEval finds these UNSUPPORTED as speculative hypotheses lacking experimental validation. The peer reviewer finds the broader concept (including C13) SUPPORTED as fundamental findings about disinhibitory modulation, though they appear to be evaluating the descriptive findings rather than the mechanistic speculation.",8.0,3.0,2,elife-95412,v1,0.25,3,8,Disagree
CMP11,R5,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address epigenetic changes claims (C74-C76). OpenEval supports the progression to epigenetic changes in EOD based on pathway enrichment, while peer review explicitly challenges this as unsupported since chromatin or gene expression were not directly measured.",9.0,3.0,3,elife-89214,v1,0.3333333333333333,3,9,Disagree
CMP9,R9,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Major disagreement on main conclusion about NS1 oligomeric state (C71-C75). OpenEval rates SUPPORTED, accepting the dimer-HDL model while acknowledging purification limitations. Peer reviewers rate UNSUPPORTED, with Reviewer 2 stating the conclusion is 'inconsistent' with their own data showing 2 dimers per HDL, and Reviewer 1 stating the main conclusion 'is not supported by the data' due to single antibody methodology.",5.0,5.0,5,elife-90762,v1,1.0,5,5,Disagree
CMP16,R19,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate main conclusions (C111-C112). OpenEval finds the model SUPPORTED by multiple lines of evidence despite limitations in cell-specific approaches. Peer reviewers rate as UNSUPPORTED: the editor states 'there is not yet direct evidence for a CD131-mediated mechanism,' Reviewer 3 emphasizes evidence is 'circumstantial and not direct' requiring cell-specific experiments, and Reviewer 2 notes 'lack of supporting evidence for core arguments' due to absent mechanistic data.",2.0,2.0,2,elife-102637,v1,1.0,2,2,Disagree
CMP18,R18,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Divergent evaluations of resistance evolution positive control (C82-C83). OpenEval rates SUPPORTED based on experimental evolution data. Peer review rates overall resistance claims UNSUPPORTED, questioning interpretation methodology.",2.0,24.0,2,elife-92493,v1,0.08333333333333333,24,2,Disagree
CMP19,R19,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Major disagreement on population-level resistance (C84-C85). OpenEval rates SUPPORTED based on lack of growth increases. Peer review rates UNSUPPORTED, stating 'the bacteria did not grow better after selection' but questioning the conclusion, noting 'they then use the mean value of these individuals to conclude that there is no difference from the ancestor. This seems incorrect.'",2.0,24.0,2,elife-92493,v1,0.08333333333333333,24,2,Disagree
CMP20,R20,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Divergent evaluations of clonal screening (C86-C90). OpenEval rates SUPPORTED, noting species-specific resistance potential. Peer review rates UNSUPPORTED, criticizing methodology of comparing group means rather than identifying individual resistant clones.",5.0,24.0,5,elife-92493,v1,0.20833333333333334,24,5,Disagree
CMP21,R21,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Divergent evaluations of mutation analysis (C91-C94). OpenEval rates SUPPORTED based on sequencing and growth correlation. Peer review rates UNSUPPORTED, stating 'Figure S10 does not seem to support the findings reported in line 417.'",4.0,24.0,4,elife-92493,v1,0.16666666666666666,24,4,Disagree
CMP22,R22,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Divergent evaluations of mutation functional analysis (C95-C97, C101). OpenEval rates SUPPORTED based on whole-genome sequencing. Peer review's UNSUPPORTED rating for resistance evolution extends to these mechanistic interpretations.",4.0,24.0,4,elife-92493,v1,0.16666666666666666,24,4,Disagree
CMP23,R23,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Divergent evaluations of virulence gene loss (C98-C100, C103). OpenEval rates SUPPORTED with appropriate caveats about speculation. Peer review's UNSUPPORTED rating for resistance claims undermines confidence in these interpretations.",4.0,24.0,4,elife-92493,v1,0.16666666666666666,24,4,Disagree
CMP24,R24,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,Divergent evaluations of minimal adaptation in A. baumannii and K. pneumoniae (C102). OpenEval rates SUPPORTED as important negative result. Peer review questions the overall resistance evolution methodology and interpretation.,1.0,24.0,1,elife-92493,v1,0.041666666666666664,24,1,Disagree
CMP11,R10,R11,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both evaluate claim C68 regarding STAMBPL1 expression elevation in TNBC. OpenEval finds this SUPPORTED by database analysis showing significant differences between TNBC and non-TNBC, noting expression is specifically elevated in TNBC versus non-TNBC. Peer review rates this UNSUPPORTED, with Reviewer 3 explicitly challenging that STAMBPL1 and GRHL3 are not higher in breast cancer than adjacent normal tissues, and differences between TNBC and non-TNBC are not dramatic enough to support tumor-promoting function.",1.0,1.0,1,elife-102433,v1,1.0,1,1,Disagree
CMP11,R2,R12,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate central hypothesis and conclusions (C39, C86-C88 in OpenEval; C39, C87-C88 in peer review). Major disagreement: OpenEval finds SUPPORTED based on integration of experimental and modeling data. Peer reviewers find UNSUPPORTED, explicitly stating 'conclusions...with regard to the role of these changes in ion channels and to their implications for the LH surge, are not fully supported' due to lack of physiological conditions approximating estrous cycle.",6.0,3.0,3,elife-96691,v1,0.5,3,6,Disagree
CMP2,R11,R7,Supported,Unsupported,MINOR,MAJOR,Disagree,"Strong disagreement on claims C87-C89 regarding DUX4 expression thresholds. OpenEval finds the methodological decisions supported and reasonable, while peer reviewers (R1 and R3) find them UNSUPPORTED, criticizing inconsistent thresholds across analyses, exclusion of 126 intermediate patients, and lack of prospective rationale.",3.0,3.0,3,elife-89017,v1,1.0,3,3,Disagree
CMP6,R6,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C16-C17, C71 about lack of myeloid gene enrichment in aged LT-HSCs. OpenEval finds this SUPPORTED by RNA-seq and GSEA data. Peer reviewers find this UNSUPPORTED, with Reviewer 1 identifying a logical inconsistency: if ST-HSCs lack lymphoid enrichment, 'it is hard to understand how aged bulk HSCs have more myeloid gene set enrichment,' suggesting the molecular data do not definitively rule out lineage bias in LT-HSCs.",3.0,3.0,3,elife-95880,v1,1.0,3,3,Disagree
CMP11,R11,R13,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the study's main conclusion (C26, C68) that myeloid bias results from altered HSC subset ratios rather than clonal selection. OpenEval finds this SUPPORTED by convergence of multiple lines of evidence. Peer reviewers find this UNSUPPORTED, with the editor stating 'current results remain incomplete,' Reviewer 2 concluding the data 'do not convincingly challenge the current paradigm,' and Reviewer 3 noting 'such a strong claim needs to be supported by solid experimental data.'",2.0,1.0,1,elife-95880,v1,0.5,1,2,Disagree
CMP10,R9,R8,Unsupported,Supported,MINOR,MAJOR,Disagree,"Disagreement on generalizability claims (C15, C89, C91). OpenEval rates UNSUPPORTED, noting these are untested hypotheses for other insects and explicitly acknowledging lack of supporting evidence. Peer reviewers rate SUPPORTED, with editor endorsing broader applicability and Reviewer 2 emphasizing 'generality and applicability to any other invertebrate species.' Major divergence on evaluating speculative vs. demonstrated claims.",6.0,3.0,3,elife-87928,v1,0.5,3,6,Disagree
CMP19,R27,R14,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address identical claims (C123-C126) about prior work on intracellular Aβ accumulation. OpenEval finds SUPPORTED by extensive citations providing important context. Peer review rates UNSUPPORTED, with Reviewer 2 'disappointed' that authors failed to adequately contextualize findings with prior nuclear Aβ pathology literature (Pensalfini 2014, Lee 2022), stating discussion 'misrepresents' previous findings and requesting additional experiments on intranuclear amyloid.",4.0,4.0,4,elife-92069,v1,1.0,4,4,Disagree
CMP5,R4,R5,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R4 includes C32 (in situ hybridization showing miR-99b-3p in osteocytes) as part of supported evidence. Peer R5 specifically evaluates C32 as unsupported, stating the supplementary figure data is not convincing with difficult-to-see positive cells and osteocytes lacking nuclei. Clear disagreement on quality of this specific dataset.",6.0,1.0,1,elife-89613,v1,0.16666666666666666,1,6,Disagree
CMP11,R17,R9,Unsupported,Supported,MINOR,MINOR,Disagree,"Agreement that therapeutic claims (C12) are speculative but valuable. OpenEval explicitly marks this as unsupported by current data, appropriate as future direction. Peer reviewers view this positively as offering 'new opportunity to recover P53 function' but implicitly acknowledge the speculative nature.",1.0,2.0,1,elife-106469,v1,0.5,2,1,Disagree
CMP14,R11,R14,Supported,Unsupported,MINOR,MAJOR,Disagree,"Perfect claim overlap (C80-C81) on absence of histological changes. Major disagreement in interpretation: OpenEval rates SUPPORTED, acknowledging this as a study limitation with 4-week period too short for structural changes. Peer review rates UNSUPPORTED with Reviewer 3 viewing lack of histologic injury as major problem undermining the model rather than acceptable limitation.",2.0,2.0,2,elife-98766,v1,1.0,2,2,Disagree
CMP18,R21,R9,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both evaluate colocalization data (C143-C144). OpenEval finds random colocalization reasonable given potential transient interactions, though speculative. Peer Reviewer 1 explicitly criticized imaging as 'too noisy and no clear conclusions can be made' and stated 'kiss and go model...without two colour imaging of both proteins at the same time, the claims are much stronger than the evidence,' marking this UNSUPPORTED.",2.0,2.0,2,elife-90309,v1,1.0,2,2,Disagree
CMP13,R13,R11,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both evaluate the failed co-IP experiment (C113). OpenEval finds this SUPPORTED as an appropriately reported negative result consistent with weak/transient interaction. Peer reviewers find this UNSUPPORTED, viewing the negative result as problematic for interaction claims and undermining confidence in NanoBiT data, necessitating additional validation experiments.",1.0,1.0,1,elife-102852,v1,1.0,1,1,Disagree
CMP2,R7,R3,Supported,Unsupported,MINOR,MAJOR,Disagree,"Strong disagreement on model limitations (C58-C61). OpenEval rates these claims as SUPPORTED, viewing the honest assessment of CAF mismatches as strengthening the evaluation. Peer reviewers rate them UNSUPPORTED, viewing the CAF mismatch as a fundamental failure: 'conflict effects on behavioral data are well-established and typically considered crucial...these parts of the data don't fit well with the proposed model.'",4.0,4.0,4,elife-98351,v1,1.0,4,4,Disagree
CMP3,R11,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Fundamental disagreement on orthogonalization mechanism (C5, C84-C92). OpenEval finds the representational geometry explanation SUPPORTED with 'methodologically sound' analysis and significant correlations. Peer reviewers rate it UNSUPPORTED, arguing 'the proposed representational geometry explanation is therefore limited' and suggesting temporal dynamics rather than spatial orthogonalization may explain effects.",9.0,10.0,9,elife-98351,v1,0.9,10,9,Disagree
CMP2,R1,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R1 includes in vitro C2C12 senescence markers (C16-C21) as part of comprehensive SUPPORTED evaluation. Peer R2 rates these same claims UNSUPPORTED, fundamentally questioning C2C12 as a senescence model due to deleted p16/p19 locus and immortalized nature, recommending primary myoblasts instead.",11.0,6.0,6,elife-95229,v1,0.5454545454545454,6,11,Disagree
CMP11,R10,R10,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate C184S rescue of differentiation (C63-C66). OpenEval rates SUPPORTED but notes incomplete rescue. Peer reviewers rate UNSUPPORTED, identifying fundamental flaw: overexpression doesn't account for endogenous HRas; knockout/knockdown or knock-in mutations needed to definitively establish C184 dependence.",4.0,7.0,4,elife-95229,v1,0.5714285714285714,7,4,Disagree
CMP14,R12,R10,Supported,Unsupported,MAJOR,MAJOR,Disagree,OpenEval R12 includes integrated conclusion about mechanism (C89). Peer R10 includes C89 in evaluation of rescue experiments rated UNSUPPORTED due to overexpression approach limitations. Both recognize gaps in establishing causal chain.,4.0,7.0,1,elife-95229,v1,0.14285714285714285,7,4,Disagree
CMP7,R7,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate main ecological conclusions (C40-C41, C93-C94, C97, C103, C120, C125, C140-C141). OpenEval finds core findings well-supported though some claims are appropriately qualified (SUPPORTED), while peer reviewers explicitly state incomplete evidence for claims about positive interactions, note discussion adds little, and question advance in ecological understanding (UNSUPPORTED). Strongest disagreement on overall conclusions.",10.0,10.0,10,elife-92457,v1,1.0,10,10,Disagree
CMP1,R15,R1,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both evaluate ThT as a membrane potential reporter (C36, C41, C43). OpenEval finds the methodological validation SUPPORTED by multiple dyes and controls. Peer reviewers find it UNSUPPORTED, fundamentally challenging whether ThT acts as a Nernstian dye in E. coli and noting incomplete controls and contradictions with published work.",4.0,4.0,3,elife-92525,v1,0.75,4,4,Disagree
CMP3,R5,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate wavefront propagation claims (C49-C54). OpenEval finds SUPPORTED by time-lapse microscopy showing bidirectional wavefront movement. Peer reviewers find UNSUPPORTED, explicitly stating they cannot identify traveling wavefronts in the data and observe cells brightening in tandem rather than propagating signals.",8.0,7.0,6,elife-92525,v1,0.75,7,8,Disagree
CMP6,R8,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both assess protective role claims via LiveDead assay (C77-C80, C144). OpenEval finds SUPPORTED by PI staining showing ~4.5-fold difference. Peer reviewers find UNSUPPORTED, noting absence of critical negative controls (PI staining without blue light, experiments without ThT) and concerns about PI uptake confounds.",5.0,5.0,5,elife-92525,v1,1.0,5,5,Disagree
CMP9,R10,R9,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the Hodgkin-Huxley model predictions (C85, C88-C92, C128-C129). OpenEval finds SUPPORTED by model matching experimental data. Peer reviewers find UNSUPPORTED, extensively critiquing the lack of empirical basis for model parameters (why n^4, gqz^4 forms) and noting the model should be compared to single-cell rather than biofilm data.",9.0,8.0,8,elife-92525,v1,0.8888888888888888,8,9,Disagree
CMP14,R20,R13,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address novelty claims about Gram-negative bacteria (C149, and C24 in peer review). OpenEval finds SUPPORTED regarding ABFDF model advantages. Peer reviewers find the novelty claim UNSUPPORTED, directly contradicting the 'first' claim by citing Hennes et al. (2023) reporting collective electrical oscillations in N. gonorrhoeae.",2.0,5.0,1,elife-92525,v1,0.2,5,2,Disagree
CMP9,R8,R8,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both specifically evaluate mechanistic interpretation (C60). OpenEval supports the causal link but notes precise synaptic mechanisms remain uncertain and go beyond behavioral data. Peer reviewer rates UNSUPPORTED, explicitly stating experiments 'do not provide significant insight into...the function of the hippocampal to retrosplenial cortex connection.'",4.0,1.0,1,elife-96515,v1,0.25,1,4,Disagree
CMP8,R10,R7,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims about mapping task ruling out attention-based explanations (C99-C100). OpenEval finds SUPPORTED, arguing mapping analysis provides evidence against alternative explanations. Peer review rates UNSUPPORTED, directly challenging this interpretation: above-chance mapping performance doesn't necessarily demonstrate dimensional separability understanding, as it could reflect whole-stimulus memorization rather than dimensional decomposition.",4.0,2.0,2,elife-93636,v1,0.5,2,4,Disagree
CMP2,R2,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims C48-C51 about neural-specific Cre lines and exclusion of neural cell-autonomous mechanisms. OpenEval finds this SUPPORTED with clear negative results. Peer reviewers rate this UNSUPPORTED, arguing that NestinCre and Emx1Cre target the same cell types with only one day difference in expression timing, and that there is insufficient evidence to exclude neural cell lineage responsibility for the phenotype.",4.0,4.0,4,elife-100446,v1,1.0,4,4,Disagree
CMP6,R6,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claim C81 about APP and Ric8a being in the same pathway (OpenEval also includes C67-C72 on phenotypic similarity and mechanistic links). OpenEval finds this SUPPORTED based on phenotypic similarity, G-alpha protein depletion, and known APP-G-alpha interactions. Peer reviewers rate this UNSUPPORTED, explicitly stating that similarities between mutants are not enough evidence to claim they are in the same pathway.",7.0,1.0,1,elife-100446,v1,0.14285714285714285,1,7,Disagree
CMP5,R12,R4,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address multi-animal tracking claims (C33, C76-C80). OpenEval finds SUPPORTED by quantitative results in Figure 8C-F with substantial improvements. Peer reviewers rate UNSUPPORTED, explicitly criticizing lack of proper multi-animal validation, noting poor pose estimation in actual videos and absence of comparison with DLC/SLEAP multi-animal modes.",7.0,6.0,6,elife-95709,v1,0.8571428571428571,6,7,Disagree
CMP12,R12,R9,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate claims about Q-nMT disassembly timing and cell cycle re-entry (C6, C31, C120-C125). OpenEval finds SUPPORTED by time-lapse imaging and quantification. Peer review rates UNSUPPORTED, with Reviewer 3 explicitly stating 'the claim that the Q-nMT functions as a checkpoint effector that inhibits re-entry into the cell cycle' is not supported, suggesting correlation but not causation.",8.0,8.0,8,elife-89958,v1,1.0,8,8,Disagree
CMP14,R13,R3,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate viability and fitness consequences of Q-nMT defects (C52-C53, plus C18-C19, C78). OpenEval finds SUPPORTED by viability assays establishing physiological importance. Peer review rates UNSUPPORTED, with Reviewer 1 explicitly stating 'evidence shown are insufficient to provide a direct link between defects in cell viability and aberrant Q-nMT formation.'",5.0,5.0,2,elife-89958,v1,0.4,5,5,Disagree
CMP16,R15,R3,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both reference Q-nMT structure, function, and physiological importance (C1, C11-C19). OpenEval finds SUPPORTED based on prior work and current viability data. Peer review partially overlaps (C18-C19, C78) in R3 rated UNSUPPORTED, challenging the direct link between Q-nMT defects and viability.",10.0,5.0,2,elife-89958,v1,0.2,5,10,Disagree
CMP19,R18,R3,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address chronological aging viability (C78, C87). OpenEval finds SUPPORTED by viability assays showing reduced survival. Peer review rates UNSUPPORTED as part of broader challenge to linking Q-nMT defects directly to viability outcomes.",2.0,5.0,1,elife-89958,v1,0.2,5,2,Disagree
CMP10,R10,R8,Supported,Unsupported,MINOR,MAJOR,Disagree,"Strong disagreement. OpenEval finds claims C53-C54 about stretch-sensing SUPPORTED as reasonable inference from anatomical proximity, though notes direct demonstration would strengthen it. Peer reviewers find this UNSUPPORTED, explicitly stating 'Proximity between md-C neurons and muscles is not evidence that they sense stretch.'",2.0,2.0,2,elife-88614,v1,1.0,2,2,Disagree
CMP26,R24,R16,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval addresses C147-C154 including claims about developmental requirements (C153-C154). Peer R16 addresses C153-C158 and rates UNSUPPORTED, with Reviewer 1 directly challenging the assertion that 'late-onset phenotypes observed in the knockout mice over time is attributed to the metabolic defects arising from the loss of PTPMT1 in the embryos,' explicitly requesting developmental histology or inducible Cre drivers to validate claims.",8.0,6.0,2,elife-86944,v1,0.25,6,8,Disagree
CMP27,R25,R16,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address claims C155-C158 about temporal progression and compensatory mechanisms. OpenEval finds claims SUPPORTED as reasonable inferences though some causal relationships are inferred. Peer review rates UNSUPPORTED, with Reviewer 1 demanding validation that effects are not developmental in nature through 'detailed developmental assessment' or 'inducible cre drivers.'",4.0,6.0,4,elife-86944,v1,0.6666666666666666,6,4,Disagree
CMP9,R9,R8,Supported,Unsupported,MAJOR,MINOR,Disagree,"Major disagreement on comparison with non-Tregs (C54). OpenEval supports phenotypic comparisons as data-supported. Peer reviewers rate as UNSUPPORTED, explicitly criticizing that 'the authors do not compare the frequency of dual TCR co-expression by Tregs with non-Tregs' and find the response to this criticism 'non-responsive.'",3.0,1.0,1,elife-105504,v1,0.3333333333333333,1,3,Disagree
CMP22,R18,R13,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Major disagreement on novelty claims (C107, C111-C113). OpenEval supports the novelty claim as valid given comprehensive analysis. Peer reviewers rate as UNSUPPORTED, explicitly challenging that 'the existence of dual TCR expression by Tregs has previously been demonstrated' and criticizing 'the focus on self-citation.'",7.0,4.0,4,elife-105504,v1,0.5714285714285714,4,7,Disagree
CMP5,R1,R5,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Critical disagreement on TAIJI comparison fairness (C47). OpenEval supports the comparison as fair since 'both methods use only molecular data.' Peer reviewer rates as UNSUPPORTED, stating 'TAJI was designed to use both monotherapy drug-response and molecular data' and removing this 'likely won't be able to reach maximum potential,' challenging whether DIPx superiority is valid.",14.0,5.0,1,elife-100071,v1,0.07142857142857142,5,14,Disagree
CMP1,R11,R2,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the conceptual framework and utilities (C53-C57, C63-C64). OpenEval finds it SUPPORTED with sound theoretical foundation, while peer reviewers find it UNSUPPORTED, stating the concept is 'not reproducibly described' and 'inadequate for hypothesis testing.' This represents a fundamental disagreement on the validity of the proposed framework.",7.0,7.0,7,elife-98073,v1,1.0,7,7,Disagree
CMP3,R12,R7,Supported,Unsupported,MINOR,MINOR,Disagree,"Both evaluate practical applicability claims (C58-C60). OpenEval finds them SUPPORTED with reasonable proposed solutions, though noting empirical validation is needed. Peer reviewers find them UNSUPPORTED, explicitly questioning 'how can partial density monoculture yield experimentally be assessed?' indicating the workaround is inadequately explained.",3.0,3.0,3,elife-98073,v1,1.0,3,3,Disagree
CMP5,R8,R6,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both evaluate the reinterpretation of additive partitioning and competitive interactions (C36-C42). OpenEval finds claims SUPPORTED by empirical patterns from both systems. Peer reviewers find them UNSUPPORTED, stating authors 'misinterpret current research' and that analysis methods are 'inadequate for hypothesis testing.' Major disagreement on validity of reinterpretation.",9.0,7.0,7,elife-98073,v1,0.7777777777777778,7,9,Disagree
CMP8,R2,R1,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address critique of existing methods (C4, C8 overlap, plus C43-C44, C61-C62 in peer review). OpenEval finds the critique SUPPORTED by citations and logical reasoning (C4-C8). Peer reviewers find it UNSUPPORTED, explicitly stating 'the authors misinterpret current research in the field' and rejecting the premise that commonly used analyses are fundamentally flawed.",5.0,6.0,2,elife-98073,v1,0.3333333333333333,6,5,Disagree
CMP9,R13,R1,Supported,Unsupported,MAJOR,MAJOR,Disagree,"OpenEval R13 addresses critical analysis of common assumptions (C61-C62), finding it SUPPORTED. Peer R1 includes these claims in broader critique evaluation, finding them UNSUPPORTED as part of the authors' misinterpretation of current research. Disagreement on validity of the distinction between resource pool-based and monoculture yield-based definitions.",2.0,6.0,2,elife-98073,v1,0.3333333333333333,6,2,Disagree
CMP18,R14,R9,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address major mechanistic conclusions (C78, C80, C83-C84). OpenEval finds evidence strong with convergent data but notes causation claims remain inferential. Peer reviewers rate as UNSUPPORTED, explicitly stating 'main conceptual claims...appear insufficiently justified' and 'corresponding informative experimental approaches are missing - most importantly direct measurements of transport activity.'",7.0,6.0,4,elife-86972,v1,0.5714285714285714,6,7,Disagree
CMP12,R17,R12,Supported,Unsupported,MINOR,MAJOR,Disagree,"Both address FM-dye methodology advantages (C43). OpenEval rates SUPPORTED, endorsing advantages over electrophysiology and synaptopHluorin. Peer reviewers rate UNSUPPORTED, directly challenging the claim by stating 'Bulk imaging of FM de-staining does not really measure the fraction of non-stained vesicles' and noting the approach is 'blind' to many processes.",4.0,1.0,1,elife-88212,v1,0.25,1,4,Disagree
CMP15,R15,R10,Unsupported,Supported,MINOR,MINOR,Disagree,"Significant disagreement on compensatory mechanism claims (C145-C147). OpenEval finds these speculative and requiring additional experiments (UNSUPPORTED). Peer reviewers accept as reasonable speculation, noting discussion is 'descriptive and cautious' (SUPPORTED). Different standards for speculative mechanistic claims.",3.0,7.0,3,elife-96926,v1,0.42857142857142855,7,3,Disagree
CMP9,R8,R9,Unsupported,Supported,MINOR,MINOR,Disagree,"Both address mechanistic claims about dimeric R25CPTH(1-34) (C58-C63). OpenEval rates UNSUPPORTED due to reliance on unpublished data and speculation without validation. Peer reviewers rate SUPPORTED, accepting this interpretive framework as background context rather than primary experimental claims, with no challenges raised.",6.0,13.0,6,elife-93830,v1,0.46153846153846156,13,6,Disagree
CMP10,R9,R9,Unsupported,Supported,MINOR,MINOR,Disagree,"Both evaluate speculative therapeutic implications (C64-C65, C67, C70-C71). OpenEval rates UNSUPPORTED, noting claims are largely speculative and require experimental validation. Peer reviewers rate SUPPORTED, implicitly accepting this interpretive framework as discussion rather than primary claims requiring direct experimental support.",5.0,13.0,5,elife-93830,v1,0.38461538461538464,13,5,Disagree
CMP1,R19,R1,Supported,Unsupported,MAJOR,MAJOR,Disagree,"Both address the main novelty claim (C84, C126, C132). OpenEval finds the conclusions SUPPORTED and appropriately qualified, while peer reviewers strongly challenge novelty, stating VH is 'similar to distractor heterogeneity' and 'an unnecessary term'. Major disagreement on whether VH represents a genuinely novel concept.",3.0,4.0,1,elife-93033,v1,0.25,4,3,Disagree
